"representation"	"ability"	"s.e."
"0506_kinderen_3.pdf"	-3.0995623243689	1.15164877127211
"0314_Kinderen2.pdf"	-3.05461421565787	1.25419431706822
"0518_Kinderen_1.pdf"	-2.50739868411462	1.06777932374295
"0515_Kinderen_3.pdf"	-2.42407122139333	1.03182815993503
"0801_Kinderen_3.pdf"	-2.29491159401237	1.05931683300528
"0101_Kinderen3.pdf"	-2.29068184332649	1.05932362001441
"0516_kinderen_1.pdf"	-2.26839447225245	1.07939288067098
"0517_kinderen_1.pdf"	-2.06369256843383	0.965399359287482
"0513_Kinderen1.pdf"	-1.92229453723609	1.07235167000769
"0520_Kinderen_3.pdf"	-1.84456100448881	0.968141243934564
"0508_kinderen_3.pdf"	-1.83139383267195	1.01485994682594
"0808_kinderen_3.pdf"	-1.72240820040994	1.03251220192289
"1008_kinderen_3.pdf"	-1.69974786046565	0.963661657614171
"0107_Kinderen2.pdf"	-1.63589721020582	0.965644217163621
"0512_Kinderen_1.pdf"	-1.46259350861608	0.89377295868819
"0103_Kinderen_2.pdf"	-1.44918528825501	0.92527397172847
"0908EMT_kinderen_1.pdf"	-1.42906186118385	0.836962225789758
"0509_Kinderen_2.pdf"	-1.41935895805414	0.904831429120914
"1005_kinderen_3.pdf"	-1.32335923279567	0.877842379560217
"0411_Kinderen2.pdf"	-1.28965201557869	0.912397935410573
"0811_Kinderen2.pdf"	-1.26867083438021	0.866177213415218
"0112_Kinderen_2.pdf"	-1.22027817694971	0.821582321176024
"1006_Kinderen_2.pdf"	-1.0200960864827	0.901684430410998
"0111_Kinderen_3.pdf"	-0.903365351317086	0.816975223750226
"0420_Kinderen2.pdf"	-0.795039392795929	0.867147090155446
"0501_Kinderen_1.pdf"	-0.720927140456207	0.785332939073145
"0815_Kinderen2.pdf"	-0.708678617797413	0.829358324338245
"0106_Kinderen_1.pdf"	-0.657285421374468	0.758977843150514
"0104_Kinderen_1.pdf"	-0.596338455770812	0.797911811634598
"0302_kinderen_3.pdf"	-0.529371511744154	0.861222247347386
"0301_Kinderen_1.pdf"	-0.448362521422541	0.816291368535649
"0807_Kinderen2.pdf"	-0.435557087627781	0.788730091847303
"0519_kinderen_3.pdf"	-0.430352511201616	0.80250036945488
"0705EMT_Kinderen3.pdf"	-0.385722340369509	0.796724494459914
"1004_Kinderen_2.pdf"	-0.355544548604884	0.757248570734444
"0110_Kinderen_3.pdf"	-0.351498817092955	0.765949187741377
"0303_Kinderen_1.pdf"	-0.33625360465869	0.814551637755
"0819_Kinderen3.pdf"	-0.287973694170615	0.821198105941052
"0616_Kinderen3.pdf"	-0.267527459868739	0.795881149604512
"0707EMT Kinderen3.pdf"	-0.231191738574708	0.795096533389144
"0407_Kinderen1.pdf"	-0.193043589594702	0.783139051151511
"0310_Kinderen2.pdf"	-0.181594431958718	0.827523604368903
"0903EMT_kinderen_2.pdf"	-0.164504747397638	0.810303122671458
"0510_kinderen_2.pdf"	-0.148916342116295	0.78478713419556
"0105_Kinderen_3.pdf"	-0.147481054473679	0.813021438862943
"0415_Kinderen2.pdf"	-0.061720839908392	0.751433148336721
"0817_Kinderen2.pdf"	-0.046324114660806	0.788657611371969
"0423_Kinderen3.pdf"	-0.0184639297219981	0.797216738574246
"0109_Kinderen_2.pdf"	-0.0120643521668159	0.818324734035598
"0907EMT_kinderen_2.pdf"	0	0
"0614_kinderen_3.pdf"	0.0752875729729966	0.759341878676326
"0409_Kinderen3.pdf"	0.0886873245421971	0.752564189690367
"0502_kinderen_2.pdf"	0.133487612012712	0.743449463153688
